"Sample","Shannon","Simpson","Richness","Periodo"
"AB1096",1.68859815176937,0.797419336989286,6,"NO PGE"
"AB1097",1.73232417495535,0.755795651359005,9,"PGE"
"AB1235",1.70133608475123,0.735221322096014,9,"PGE"
"AB1239",2.37438685449129,0.883342357767542,13,"PGE"
"AB1285",2.06427631841963,0.820148467784224,13,"NO PGE"
"AB1286",1.85797951733072,0.813865102324345,8,"PGE"
"AB1288",2.17462077618337,0.872589527406898,10,"PGE"
"AB1290",1.33765121959281,0.626822454557924,6,"PGE"
"AB1292",1.84505401988703,0.808734180270875,8,"NO PGE"
"AB1293",0.535530694356274,0.272535715223725,3,"NO PGE"
"AB1409",1.74379152875777,0.775143884998779,8,"NO PGE"
"AB1410",0,0,1,"NO PGE"
"AB1413",1.49196039253763,0.711998872855759,6,"NO PGE"
"AB1414",1.33765315593842,0.684220177992995,5,"NO PGE"
"AB1416",1.7902103191637,0.798668630750295,8,"NO PGE"
"AB1515",1.78265499494078,0.739470462529915,12,"NO PGE"
"AB1517",1.62800315196053,0.719831016643594,10,"NO PGE"
"AB1519",1.99230950281471,0.79618516904713,12,"NO PGE"
"AB1521",1.90679693426626,0.792594187635432,10,"NO PGE"
"AB1523",2.05360233339119,0.810294055333222,13,"NO PGE"
"AB947",1.79187554348487,0.760060288961732,9,"PGE"
"AB948",2.12360367122338,0.834955312287558,12,"PGE"
"AB977",1.6847040037897,0.718134261431309,10,"NO PGE"
"AB978",0.929707300062652,0.563272020539994,3,"NO PGE"
"AB979",1.35703764535023,0.705933093285109,5,"NO PGE"
"AB980",1.67552376750807,0.733921999425272,9,"NO PGE"
"AB981",1.9601251086423,0.783461091597991,14,"NO PGE"
"AB984",1.73414699653368,0.799606602852284,7,"NO PGE"
"AB985",1.80519027287302,0.794233196978007,9,"NO PGE"
"AB986",2.33032683622048,0.866387622450478,15,"NO PGE"
