"Sample","Drug Class","TPM","Percet_abundance"
"AB1096","aminocoumarin antibiotic",306315.146956335,33.7580159058185
"AB1096","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",99730.5129625277,10.9909819228246
"AB1096","phenicol antibiotic",201496.342516127,22.2062695991763
"AB1096","rifamycin antibiotic",299842.921521809,33.0447325721806
"AB1097","aminoglycoside antibiotic",30404.0230436278,3.16123152938237
"AB1097","macrolide antibiotic",465308.133347936,48.3800035247585
"AB1097","macrolide antibiotic; streptogramin antibiotic",41187.7159458012,4.28245650532095
"AB1097","oxazolidinone antibiotic; phenicol antibiotic",41805.5316849883,4.34669335290076
"AB1097","phenicol antibiotic",254245.88657401,26.4349922278455
"AB1097","rifamycin antibiotic",128826.509005933,13.3946228597919
"AB1235","aminoglycoside antibiotic",102844.807168592,10.6137469863508
"AB1235","macrolide antibiotic",452682.873518066,46.7175895103656
"AB1235","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",66745.6430424648,6.88825607434608
"AB1235","macrolide antibiotic; streptogramin antibiotic",32550.8308433695,3.35929729734119
"AB1235","oxazolidinone antibiotic; phenicol antibiotic",34695.5248132325,3.5806331118171
"AB1235","phenicol antibiotic",202280.163098082,20.875633204906
"AB1235","rifamycin antibiotic",77177.5346936384,7.9648438148732
"AB1239","aminoglycoside antibiotic",44657.3872910439,5.84923076108791
"AB1239","lincosamide antibiotic",142400.587766791,18.6516486720117
"AB1239","macrolide antibiotic; streptogramin antibiotic",87994.8518050126,11.5255778543604
"AB1239","oxazolidinone antibiotic; phenicol antibiotic",68075.2855046401,8.91651030653645
"AB1239","phenicol antibiotic",253476.241639216,33.2003531719913
"AB1239","rifamycin antibiotic",166870.179911976,21.8566792340122
"AB1285","aminocoumarin antibiotic",92403.5616775146,9.63254804466221
"AB1285","aminoglycoside antibiotic",60715.3002595723,6.32922623521271
"AB1285","macrolide antibiotic",323015.640759802,33.6725513855738
"AB1285","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic",17649.796587085,1.83989134744556
"AB1285","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic",21318.5745293442,2.22234067247637
"AB1285","macrolide antibiotic; streptogramin antibiotic",50471.4626542011,5.26136417336032
"AB1285","oxazolidinone antibiotic; phenicol antibiotic",34707.6792642372,3.61807902165361
"AB1285","phenicol antibiotic",222164.563290367,23.1593976559521
"AB1285","rifamycin antibiotic",136838.142414788,14.2646014636633
"AB1286","aminocoumarin antibiotic",228278.030592019,23.8752425151316
"AB1286","aminoglycoside antibiotic",52530.1858902555,5.49405005922914
"AB1286","macrolide antibiotic; streptogramin antibiotic",86588.2185004211,9.05612647125683
